id,spaceCode,spaceName,floor
319,4L185,110,4
321,4L188,111,4
320,4L187,112,4
357,4K096,113,4
356,4K095,114,4
355,4K094,115,4
354,4K093,116,4
353,4K092,117,4
352,4K091,118,4
351,4K090,119,4
350,4K089,120,4
358,4K097,121,4
359,4K098,122,4
360,4K099,123,4
361,4K100,124,4
362,4K101,125,4
363,4K102,126,4
364,4K103,127,4
365,4K104,128,4
322,4L189,129,4
323,4L190,130,4
325,4L192,131,4
324,4L191,132,4
373,4K112,133,4
372,4K111,134,4
371,4K110,135,4
370,4K109,136,4
369,4K108,137,4
368,4K107,138,4
367,4K106,139,4
366,4K105,140,4
374,4K113,141,4
375,4K114,142,4
376,4K115,143,4
377,4K116,144,4
378,4K117,145,4
379,4K118,146,4
380,4K119,147,4
381,4K120,148,4
326,4L193,149,4
327,4L194,150,4
329,4L196,151,4
328,4L195,152,4
389,4K128,153,4
388,4K127,154,4
387,4K126,155,4
386,4K125,156,4
385,4K124,157,4
384,4K123,158,4
383,4K122,159,4
382,4K121,160,4
330,4L197,161,4
331,4L198,162,4
333,4L200,163,4
332,4L199,164,4
390,4K129,165,4
391,4K130,166,4
392,4K131,167,4
393,4K132,168,4
394,4K133,169,4
395,4K134,170,4
396,4K135,171,4
397,4K136,172,4
334,4L201,173,4
335,4L202,174,4
337,4L204,175,4
336,4L203,176,4
405,4K144,177,4
404,4K143,178,4
403,4K142,179,4
402,4K141,180,4
401,4K140,181,4
400,4K139,182,4
399,4K138,183,4
398,4K137,184,4
406,4K145,185,4
407,4K146,186,4
408,4K147,187,4
409,4K148,188,4
410,4K149,189,4
411,4K150,190,4
412,4K151,191,4
413,4K152,192,4
338,4L205,193,4
339,4L206,194,4
341,4L208,195,4
340,4L207,196,4
421,4K160,197,4
420,4K159,198,4
419,4K158,199,4
418,4K157,200,4
417,4K156,201,4
416,4K155,202,4
415,4K154,203,4
414,4K153,204,4
1607,4B229,205,4
1605,4B227,206,4
1603,4B225,207,4
1601,4B223,208,4
1599,4B221,209,4
1597,4B219,210,4
1595,4B217,211,4
1593,4B215,212,4
1591,4B213,213,4
1608,4B230,214,4
1606,4B228,215,4
1604,4B226,216,4
1602,4B224,217,4
1600,4B222,218,4
1598,4B220,219,4
1596,4B218,220,4
1594,4B216,221,4
1592,4B214,222,4
1619,4B241,223,4
1617,4B239,224,4
1615,4B237,225,4
1613,4B235,226,4
1611,4B233,227,4
1609,4B231,228,4
1620,4B242,229,4
1618,4B240,230,4
1616,4B238,231,4
1614,4B236,232,4
1612,4B234,233,4
1610,4B232,234,4
1625,4B247,235,4
1623,4B245,236,4
1621,4B243,237,4
1626,4B248,238,4
1624,4B246,239,4
1622,4B244,240,4
1631,4B253,241,4
1629,4B251,242,4
1627,4B249,243,4
1632,4B254,244,4
1630,4B252,245,4
1628,4B250,246,4
1637,4B259,247,4
1635,4B257,248,4
1633,4B255,249,4
1638,4B260,250,4
1636,4B258,251,4
1634,4B256,252,4
1653,4B275,253,4
1651,4B273,254,4
1649,4B271,255,4
1647,4B269,256,4
1645,4B267,257,4
1643,4B265,258,4
1641,4B263,259,4
1639,4B261,260,4
1654,4B276,261,4
1652,4B274,262,4
1650,4B272,263,4
1648,4B270,264,4
1646,4B268,265,4
1644,4B266,266,4
1642,4B264,267,4
1640,4B262,268,4
1468,4D281,269,4
1466,4D279,270,4
1464,4D277,271,4
1509,4D323,272,4
1507,4D321,273,4
1505,4D319,274,4
1503,4D317,275,4
1501,4D315,276,4
1469,4D282,277,4
1467,4D280,278,4
1465,4D278,279,4
1510,4D324,280,4
1508,4D322,281,4
1506,4D320,282,4
1504,4D318,283,4
1502,4D316,284,4
1474,4D287,285,4
1472,4D285,286,4
1470,4D283,287,4
1519,4D333,288,4
